"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.723157890E-1,2.056407928E-1,7.272748947E-1,-2.112374306E-1
9.772730810E-1,7.801270485E-2,8.423376083E-1,-1.405313015E-1
9.822320390E-1,-7.777190208E-2,9.059038162E-1,-1.603362560E-1
9.871899560E-1,-2.285046577E-1,9.444789886E-1,-2.776191235E-1
9.921517790E-1,-3.387544155E-1,1.053526878E0,-2.324328423E-1
9.971077160E-1,-3.899390697E-1,1.142309189E0,-1.565322876E-1
1.002075789E0,-3.657596111E-1,1.215845108E0,-6.876850128E-2
1.007029487E0,-3.022468090E-1,1.192972183E0,-1.223156452E-1
1.011988758E0,-2.924640179E-1,1.167065620E0,-2.092494965E-1
1.016947404E0,-2.910776138E-1,1.168935776E0,-2.895545959E-1
1.022004227E0,-2.236680984E-1,1.129876137E0,-3.685743809E-1
1.027064904E0,-9.245419502E-2,1.139919281E0,-3.047347069E-1
1.032122768E0,-4.479670525E-2,1.034120560E0,-3.633630276E-1
1.037206310E0,1.654145718E-1,9.819221497E-1,-5.751273632E-1
1.042235112E0,3.854146004E-1,8.559017181E-1,-6.954500675E-1
1.047300112E0,4.631950855E-1,8.047037125E-1,-7.658576965E-1
1.052375372E0,5.275471210E-1,7.490110397E-1,-9.663853645E-1
1.057437143E0,4.989938736E-1,7.816686630E-1,-9.660363197E-1
1.062494643E0,4.635605812E-1,8.024644852E-1,-7.937979698E-1
1.067526466E0,5.045194626E-1,8.064336777E-1,-7.368535995E-1
1.072606779E0,5.886561871E-1,8.441724777E-1,-7.003092766E-1
1.077641310E0,5.991652012E-1,8.717966080E-1,-6.830668449E-1
1.082654539E0,5.578742027E-1,9.085702896E-1,-6.798257828E-1
1.087785789E0,5.482859612E-1,9.243946075E-1,-7.270264626E-1
1.092840216E0,5.163066387E-1,9.703073502E-1,-8.255386353E-1
1.097896570E0,4.001383781E-1,1.060912132E0,-8.954935074E-1
1.102956310E0,2.500374317E-1,1.131600380E0,-9.037241936E-1
1.108015164E0,9.680509567E-2,1.211194515E0,-7.788596153E-1
1.113069904E0,8.319783211E-2,1.225610256E0,-7.124094963E-1
1.118131206E0,9.208798409E-2,1.153525829E0,-6.397185326E-1
1.123189643E0,1.142184734E-1,1.068871975E0,-5.466895103E-1
1.128224383E0,1.424732208E-1,9.592857361E-1,-5.769639015E-1
1.133235112E0,1.651988029E-1,8.911910057E-1,-6.373572350E-1
